XUN,181,12
孟庙,160,30
ZZF,208,38
AYF,189,19
HDP,60,6
SJP,164,26
BDP,81,27
FTP,116,39
BJP,22,21
FUP,219,11
SHD,140,20
JZD,133,8
SBT,226

260000Y122H0,Y122,240914,0
BDP,,21:40
SBT,955

260000Y122R0,Y122,240919,0
BDP,,21:40
SBT,925

260000Y122K0,Y122,240914,0
260000Y122N0,Y122,240917,0
260000Y122S0,Y122,240919,0
BDP,,21:40
CCT,1280

260000Y122L0,Y122,240914,0
260000Y122O0,Y122,240917,0
260000Y122T0,Y122,240919,0
BDP,,21:40
VBB,71

260000Y122I0,Y122,240914,0
BDP,,21:40
TLT,1066

260000Y122G0,Y122,240914,0
BDP,,21:40
JZD,721

260000Y122E0,Y122,240914,0
BDP,,21:40
SHD,568

260000Y122F0,Y122,240914,0
BDP,,21:40
HLD,677

240000Y12350,Y123,240727,0
BJP,,00:58
JZD,523

010000Y124A0,Y124,240619,0
VBB,,23:10
SBT,508

